coupe_ID,folder_directory,filename,clip_length,survey_date,observation_time,n_obs,observation,species,notices_drone,changes_behaviour,behaviour_1,behaviour_2,behaviour_3,time_looking,description,comments
Coupe 035-016-0110,spatial\Fieldmaster\Coupe20035-016-0110\Media\DJI_202309192158_052,DJI_20230919221836_0002_Z.MP4,31,19/9/2023,22:18,1,1,Sugar Glider,Y,N,idle_looking_at_camera,,,2,,Species unsure? time_looking = staring?
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918201237_0004_S.MP4,,18/9/2023,20:12,2,1,Brushtail Possum,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918201237_0004_S.MP4,,18/9/2023,20:12,2,2,Brushtail Possum,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918201311_0005_Z.MP4,,18/9/2023,20:13,1,1,Brushtail Possum,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918201441_0007_Z.MP4,,18/9/2023,20:14,1,1,Sugar Glider,N,N,feeding,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918202014_0009_Z.MP4,,18/9/2023,20:20,2,1,Sugar Glider,Y,N,moving,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918202014_0009_Z.MP4,,18/9/2023,20:20,2,2,Sugar Glider,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918205018_0012_Z.MP4,,18/9/2023,20:50,1,1,Austalian Magpie,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial/Fieldmaster/Coupe20035-016-0157/Media/DJI_202309251947_055,DJI_20230925212805_0011_Z,,25/9/2023,21:28,1,1,Brushtail Possum,N,N,idle_looking_away,,,,,
Coupe 146_009_0009,spatial/Fieldmaster/Coupe 146_009_0009/Media,DJI_20230830184619_0001_S.MP4,,30/8/2023,18:45,1,1,Bushtail Possum,Y,Y,idle_looking_away,moving,,,,
Coupe 146_009_0009,spatial/Fieldmaster/Coupe 146_009_0009/Media,DJI_20230830190939_0003_S.MP4,,30/8/2023,19:09,1,1,Bushtail Possum,N,N,idle_looking_away,,,,,
Coupe 146_009_0009,spatial/Fieldmaster/Coupe 146_009_0009/Media,DJI_20230830191944_0004_S.MP4,,30/8/2023,19:19,1,1,Sugar Glider,N,N,idle_looking_away,,,, ,such a cutie
Coupe 146-012-0001,spatial/Fieldmaster/Coupe 146-012-0001/Media,DJI_20231114211955_0001_S.MP4,,14/11/2023,21:20,1,1,Sugar Glider,N,N,moving,,,,,
Coupe 146-012-0001,spatial/Fieldmaster/Coupe 146-012-0001/Media,DJI_20231114213622_0002_S.MP4,,14/11/2023,21:35,1,1,Sugar Glider,N,N,moving,,,,,
Coupe 146-012-0001,spatial/Fieldmaster/Coupe 146-012-0001/Media,DJI_20231114215528_0003_S.MP4,,14/11/2023,21:55,1,1,Sugar Glider,N,N,moving,,,,,
Coupe 146-012-0001,spatial/Fieldmaster/Coupe 146-012-0001/Media,DJI_20231114234637_0005_S.MP4,,14/11/2023,23:47,1,1,Sugar Glider,N,N,moving,,,,,
Coupe 146-012-0001,spatial/Fieldmaster/Coupe 146-012-0001/Media,DJI_20231114235109_0006_S.MP4,,14/11/2023,23:51,2,1,Bushtail Possum,N,N,feeding,,,,,
Coupe 146-012-0001,spatial/Fieldmaster/Coupe 146-012-0001/Media,DJI_20231114235109_0006_S.MP4,,14/11/2023,23:51,2,2,Bushtail Possum,N,N,idle_looking_away,,,,,baby on mamas' back
Coupe 146-012-0001,spatial/Fieldmaster/Coupe 146-012-0001/Media,DJI_20231115000025_0007_S.MP4,,15/11/2023,00:00,1,1,Bushtail Possum,N,N,idle_looking_away,,,,,
Coupe 146-012-0001,spatial/Fieldmaster/Coupe 146-012-0001/Media,DJI_20231115002159_0008_S.MP4,,15/11/2023,00:22,1,1,Ringtail Possum,N,N,idle_looking_away,,,,,
Coupe 146-012-0001,spatial/Fieldmaster/Coupe 146-012-0001/Media,DJI_20231115002645_0009_S.MP4,,15/11/2023,00:26,1,1,Bushtail Possum,N,N,idle_looking_away,,,,,
Coupe 146-012-0006,spatial/Fieldmaster/Coupe 146-012-0006/Media,DJI_20231025205304_0002_S.MP4,,25/10/2023,20:53,4,1,Pied Currawong,N,N,idle_looking_away,,,,,
Coupe 146-012-0006,spatial/Fieldmaster/Coupe 146-012-0006/Media,DJI_20231025220649_0001_S.MP4,,25/10/2023,22:06,1,1,Bushtail Possum,N,N,idle_looking_away,,,,,
Coupe 146-012-0006,spatial/Fieldmaster/Coupe 146-012-0006/Media,DJI_20231025223329_0002_S.MP4,,25/10/2023,22:33,1,1,Bushtail Possum,N,N,idle_looking_away,,,,,
Coupe 146-012-0006,spatial/Fieldmaster/Coupe 146-012-0006/Media,DJI_20231025223619_0003_S.MP4,,25/10/2023,22:36,1,1,Yellow Beliie Glider,N,N,moving,,,,,
Coupe 146-012-0006,spatial/Fieldmaster/Coupe 146-012-0006/Media,DJI_20231025230115_0004_S.MP4,,25/10/2023,23:01,6,,Pied Currawong,N,N,idle_looking_away,,,,,
Coupe 146-012-0006,spatial/Fieldmaster/Coupe 146-012-0006/Media,DJI_20231026205635_0002_S.MP4,,26/10/2023,20:54,1,1,Sugar Glider,N,N,idle_looking_away,,,,,
Coupe 146-012-0006,spatial/Fieldmaster/Coupe 146-012-0006/Media,DJI_20231026220632_0003_S.MP4,,26/10/2023,22:06,1,1,Pied Currawong,N,N,idle_looking_away,,,,,
Coupe 146-012-0006,spatial/Fieldmaster/Coupe 146-012-0006/Media,DJI_20231026221745_0004_S.MP4,,26/10/2023,22:17,1,1,Ringtail Possum,N,N,idle_looking_away,,,,,
Coupe 149-021-0108,spatial/Fieldmaster/Coupe 149-021-0108/Media,DJI_20230829183614_0001_S.MP4,,29/8/2023,18:36,1,1,Bushtail Possum,N,N,feeding,,,,,
Coupe 149-021-0108,spatial/Fieldmaster/Coupe 149-021-0108/Media,DJI_20230829183909_0002_S.MP4,,29/8/2023,18:39,4,1,Wombats,N,N,moving,,,,,
Coupe 149-021-0108,spatial/Fieldmaster/Coupe 149-021-0108/Media,DJI_20230829183909_0002_S.MP5,,29/8/2023,18:39,4,2,Wombats,N,N,idle_looking_away,,,,,
Coupe 149-021-0108,spatial/Fieldmaster/Coupe 149-021-0108/Media,DJI_20230829183909_0002_S.MP6,,29/8/2023,18:39,4,3,Wombats,N,N,idle_looking_away,,,,,
Coupe 149-021-0108,spatial/Fieldmaster/Coupe 149-021-0108/Media,DJI_20230829183909_0002_S.MP7,,29/8/2023,18:39,4,4,Wombats,N,N,idle_looking_away,,,,,
Coupe 149-021-0108,spatial/Fieldmaster/Coupe 149-021-0108/Media,DJI_20230829184014_0004_S.MP4,,29/8/2023,18:40,3,1,White-winged chough,N,N,idle_looking_away,,,,,
Coupe 149-021-0108,spatial/Fieldmaster/Coupe 149-021-0108/Media,DJI_20230829184145_0005_S.MP4,,29/8/2023,18:41,2,,Kangoroo,N,N,moving,,,,,
