coupe_ID,folder_directory,filename,clip_length,survey_date,observation_time,n_obs,observation,species,notices_drone,changes_behaviour,behaviour_1,behaviour_2,behaviour_3,time_looking,description,comments
Coupe 035-016-0110,spatial\Fieldmaster\Coupe20035-016-0110\Media\DJI_202309192158_052,DJI_20230919221836_0002_Z.MP4,00:31,19/09/2023,22:18,1,1,Sugar Glider,Y,N,idle_looking_at_camera,idle_looking_at_camera,,2,,Species unsure? time_looking = staring?
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918201237_0004_S.MP4,00:15,18/09/2023,20:12,2,1,Brushtail Possum,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918201237_0004_S.MP4,00:15,18/09/2023,20:12,2,2,Brushtail Possum,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918201311_0005_Z.MP4,00:01,18/09/2023,20:13,1,1,Brushtail Possum,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918201441_0007_Z.MP4,00:54,18/09/2023,20:14,1,1,Sugar Glider,N,N,feeding,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918202014_0009_Z.MP4,00:25,18/09/2023,20:20,2,1,Sugar Glider,Y,N,moving,moving,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918202014_0009_Z.MP4,00:25,18/09/2023,20:20,2,2,Sugar Glider,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial\Fieldmaster\Coupe20035-016-0157\Media\DJI_202309181911_048,DJI_20230918205018_0012_Z.MP4,00:31,18/09/2023,20:50,1,1,Austalian Magpie,N,N,idle_looking_away,,,,,
Coupe 035-016-0157,spatial/Fieldmaster/Coupe20035-016-0157/Media/DJI_202309251947_055,DJI_20230925212805_0011_Z.MP4,00:10,25/09/2023,21:28,1,1,Brushtail Possum,N,N,idle_looking_away,,,,,
Coupe 146_009_0009,spatial/Fieldmaster/Coupe 146_009_0009/Media,DJI_20230830184619_0001_S.MP4,02:29,30/08/2023,18:45,1,1,Bushtail Possum,Y,Y,idle_looking_away,moving,,,,
