Contact,Project name,Site name,Type of Survey,No. of observers,Date,Survey start,Survey end,Transect length,Transect bearing,Temperature,Weather,Shapefile available,Type of data,Observation location,Distance on transect,Distance to animal,Bearing to animal,Time of observation,CRS or EPSG,Datum for CRS,"Observer name, initials or number",Seen by whom,GG pres/abs,No. of GGs,Color morph,Tree species,Behaviour,Comments
Emmeline Norris,CR Greater Glider monitoring 2021 - Blundells Creek Rd planned burn,Warks Rd,Spotlighting,2,9/3/2021,,,,,,,Yes,Individual observation,Observer,,40,174,,4326,WGS84,,,1,3,,Eucalyptus viminalis,Moving,"1 animal emerging from tree hollow, 2 close together on nearby branch of same tree; on Warks Road, beyond burn area"
Emmeline Norris,CR Greater Glider November 2022 spotlighting surveys,Blundells Creek Rd North-West,Spotlighting,7,30/11/2022,8:33:00 pm,10:35:18 pm,1650,,,"Clear sky, no wind",Yes,Individual observation,Animal,,,,8:34:00 pm,4326,WGS84,Emmeline Norris,,1,1,Black,,Idle,
Emmeline Norris,CR Greater Glider November 2022 spotlighting surveys,Blundells Creek Rd North-West,Spotlighting,7,30/11/2022,8:33:00 pm,10:35:18 pm,1650,,,"Clear sky, no wind",Yes,Individual observation,Animal,,,,8:56:00 pm,4326,WGS84,Emmeline Norris,,1,1,Black,,Other,Grooming itself
Emmeline Norris,CR Greater Glider November 2022 spotlighting surveys,Blundells Creek Rd North-West,Spotlighting,7,30/11/2022,8:33:00 pm,10:35:18 pm,1650,,,"Clear sky, no wind",Yes,Individual observation,Animal,,,,9:44:00 pm,4326,WGS84,Emmeline Norris,,1,1,Black,,Idle,
Emmeline Norris,CR Greater Glider November 2022 spotlighting surveys,Blundells Creek Rd North-West,Spotlighting,7,30/11/2022,8:33:00 pm,10:35:18 pm,1650,,,"Clear sky, no wind",Yes,Individual observation,Animal,,,,9:50:00 pm,4326,WGS84,Emmeline Norris,,1,2,Black,,Idle,
Emmeline Norris,CR Greater Glider November 2022 spotlighting surveys,Blundells Creek Rd North-West,Spotlighting,7,30/11/2022,8:33:00 pm,10:35:18 pm,1650,,,"Clear sky, no wind",Yes,Individual observation,Animal,,,,9:57:00 pm,4326,WGS84,Emmeline Norris,,1,1,Black,,Moving,
Emmeline Norris,CR Greater Glider November 2022 spotlighting surveys,Blundells Creek Rd North-West,Spotlighting,7,30/11/2022,8:33:00 pm,10:35:18 pm,1650,,,"Clear sky, no wind",Yes,Individual observation,Animal,,,,9:58:00 pm,4326,WGS84,Emmeline Norris,,1,1,Black,,Feeding,
Emmeline Norris,CR Greater Glider November 2022 spotlighting surveys,Moonlight Hollow Rd,Spotlighting,3,29/11/2022,10:07:00 pm,10:59:00 pm,500,,,"Overcast, slight wind, light rain and fog",Yes,Individual observation,Animal,,,,10:30:00 pm,4326,WGS84,Emmeline Norris,,1,1,White-Gray,,Idle,
Emmeline Norris,CR Greater Glider November 2022 spotlighting surveys,Blundells Creek Rd North-West,Spotlighting,5,24/11/2022,8:22:00 pm,9:50:00 pm,1650,,,"Clear sky, no wind",Yes,Individual observation,Animal,,,,9:19:00 pm,4326,WGS84,Emmeline Norris,,1,2,Black,,Idle,Adult with juvenile on back
Emmeline Norris,CR Greater Glider November 2022 spotlighting surveys,Blundells Creek Rd North-West,Spotlighting,5,24/11/2022,8:22:00 pm,9:50:00 pm,1650,,,"Clear sky, no wind",Yes,Individual observation,Animal,,,,10:01:00 pm,4326,WGS84,Emmeline Norris,,1,1,Black,,Feeding,
