site_ID,transect,transect_bearing,observer,observer_no,date,obs_time,lat,long,waypoint_ID,species,n_animals,left_or_right,right_angle,bearing_to_animal,distance_to_animal,distance_on_transect,obs_type,behavior,tree_species,comments,seen_by_obs1,seen_by_obs2,seen_by_both,obs_id
Kinglake,1,243,OLM,1,6/2/2024,23:09:00,-37.4434,145.324393,KL 1 OLM 1,Southern Greater Glider,2,Right,No,30,12,10,seen,idle,Peppermint Gum,,1,1,1,1
Kinglake,1,243,OLM,1,6/2/2024,23:28:00,-37.4437,145.323471,KL 1 OLM 2,Southern Greater Glider,1,Right,Yes,340,30,100,seen,moving,Peppermint Gum,,1,1,1,2
Kinglake,1,243,OLM,1,6/2/2024,23:38:00,-37.4442,145.322754,KL 1 OLM 3,Southern Greater Glider,1,Left,Yes,140,8,175,seen,idle,Peppermint Gum,,1,1,1,3
Kinglake,2,63,OLM,1,6/2/2024,22:16:00,-37.4456,145.320804,KL 2 OLM 1,Southern Greater Glider,1,Right,Yes,95,15,120,seen,moving,Stringybark Gum,,1,0,0,4
Kinglake,2,63,OLM,1,6/2/2024,22:29:00,-37.4452,145.321605,KL 2 OLM 2,Southern Greater Glider,1,Left,No,238,50,210,seen,moving,Stringybark Gum,,1,0,0,5
Kinglake,3,242,OLM,1,6/2/2024,21:07:00,-37.4444,145.324604,KL 3 OLM 1,Southern Greater Glider,2,Right,Yes,235,25,30,seen,moving,Peppermint Gum,,1,0,0,6
Kinglake,3,243,OLM,1,6/2/2024,21:47:00,-37.4459,145.320969,KL 3 OLM 2,Southern Greater Glider,1,Left,Yes,105,2,390,seen,moving,Stringybark Gum,,1,0,0,7
Kinglake,1,243,JJ,2,6/2/2024,23:15:00,-37.4434,145.324295,KL T1 JJ 1,Southern Greater Glider,2,Right,No,30,15,20,seen,idle,Gum,,1,1,1,8
Kinglake,1,243,JJ,2,6/2/2024,23:25:00,-37.4436,145.323679,KL T1 JJ 2,Southern Greater Glider,1,Right,No,290,20,75,seen,idle,Peppermint Gum,,0,1,0,9
Kinglake,1,243,JJ,2,6/2/2024,23:34:00,-37.4438,145.323252,KL T1 JJ 3,Southern Greater Glider,1,Right,Yes,325,25,115,seen,idle,Peppermint Gum,,1,1,1,10
Kinglake,1,243,JJ,2,6/2/2024,23:43:00,-37.4441,145.322755,KL T1 JJ 4,Southern Greater Glider,1,Left,No,150,10,175,seen,idle,Peppermint Gum,,1,1,1,11
Kinglake,2,63,JJ,2,6/2/2024,22:28:00,-37.4453,145.321251,KL T2 JJ 1,Southern Greater Glider,1,Left,No,300,10,170,seen,idle,Gum,,0,1,0,12
Kinglake,2,63,JJ,2,6/2/2024,22:51:00,-37.4447,145.322584,KL T2 JJ 2,Southern Greater Glider,1,Left,No,10,25,305,seen,idle,Gum,,0,1,0,13
Kinglake,3,242,JJ,2,6/2/2024,21:11:00,-37.4442,145.324793,KL T3 JJ 1,Southern Greater Glider,1,Right,Yes,0,20,0,seen,idle,Peppermint Gum,,0,1,0,14
Kinglake,3,242,JJ,2,6/2/2024,21:19:00,-37.4444,145.324359,KL T3 JJ2,Southern Greater Glider,1,Right,No,20,20,47,seen,idle,Peppermint Gum,,0,1,0,15
Castella,3,152,OLM,1,14/9/2023,19:20:00,-37.49436102,145.432994,CAS3 OLM 1,Southern Greater Glider,1,right ,yes,36,40,300,seen,idle,"Eucalyptus, stringy bark",,1,1,1,16
