"","site_ID","transect","transect_bearing","observer","observer_no","date","obs_time","lat","long","waypoint_ID","species","n_animals","left_or_right","right_angle","bearing_to_animal","distance_to_animal","distance_on_transect","obs_type","behavior","tree_species","comments","seen_by_obs1","seen_by_obs2","seen_by_both","time"
"1","Kinglake",1,243,"OLM",1,2024-02-06,0.977777777777778,-37.4437,145.323471,"KL 1 OLM 2","Southern greater glider",1,"Right","Yes","340","30","100","seen","moving","Peppermint Gum",NA,"1","0","0",23.4666666666667
"2","Kinglake",2,63,"OLM",1,2024-02-06,0.927777777777778,-37.4456,145.320804,"KL 2 OLM 1","Southern greater glider",1,"Right","Yes","95","15","120","seen","moving","Stringybark Gum",NA,"1","0","0",22.2666666666667
"3","Kinglake",2,63,"OLM",1,2024-02-06,0.936805555555556,-37.4452,145.321605,"KL 2 OLM 2","Southern greater glider",1,"Left","No","238","50","210","seen","moving","Stringybark Gum",NA,"1","0","0",22.4833333333333
"4","Kinglake",3,242,"OLM",1,2024-02-06,0.879861111111111,-37.4444,145.324604,"KL 3 OLM 1","Southern greater glider",2,"Right","Yes","235","25","30","seen","moving","Peppermint Gum",NA,"1","0","0",21.1166666666667
"5","Kinglake",1,243,"OLM",1,2024-02-06,0.907638888888889,-37.4459,145.320969,"KL 3 OLM 2","Southern greater glider",1,"Left","Yes","105","2","390","seen","moving","Stringybark Gum",NA,"1","0","0",21.7833333333333
"6","Castella",3,152,"OLM",1,2023-09-14,0.815277777777778,-37.4924230389297,145.432794028893,"CAS3 OLM 2","Southern greater glider",1,"right ","no","47","1","420","seen","idle","Eucalyptus, stringy bark",NA,"1","0","0",19.5666666666667
"7","Castella",1,156,"OLM",1,2023-09-14,0.892361111111111,-37.4950149748474,145.434469990432,"CAS 1 OLM 5","Southern greater glider",1,"right ","yes","209","15","170","seen","idle","Eucalyptus, stringy bark",NA,"1","0","0",21.4166666666667
"8","297-806-0001",2,312,"OLM",1,2024-01-18,0.996527777777778,-37.4867335,145.4347562,"297 2 OLM 3","Southern greater glider",1,"right","No","19","20","500","seen","idle","Peppermint Gum",NA,"1","0","1",23.9166666666667
"9","299-510-0007",1,152,"DL",1,2024-02-16,0.970833333333333,-37.51229829,145.5987217,"YEL T1 DL 01","Common ringtail possum",1,"Left","Yes","22","5","45","seen","staring","Silver Wattle",NA,"1","0","0",23.3
"10","299-944-0002",2,160,"JLI",1,2024-01-31,0.916666666666667,-37.5074180122464,145.603419989347,"NAR T2 JLI 1","Southern greater glider",1,"Left","Yes","55","20","0","seen","Watching","Gum",NA,"1","0","0",22
"11","299-944-0002",2,160,"JLI",1,2024-01-31,0.927777777777778,-37.5093450117856,145.604077968746,"NAR T2 JLI 2","Common ringtail possum",2,"right","Yes","0","0","226","seen","Watching","Gum",NA,"1","0","0",22.2666666666667
"12","299-944-0002",3,340,"JLI",1,2024-01-31,0.963194444444444,-37.5105469767004,145.605314970016,"NAR T3 JLI 2","Southern greater glider",1,"Right","Yes","84","20","112","seen","Idle","Peppermint",NA,"1","0","0",23.1166666666667
"13","299-944-0002",3,340,"JLI",1,2024-01-31,0.975,-37.5092580076307,145.604431014508,"NAR T3 JLI 4","Southern greater glider",1,"right","No","12","25","274","seen","idle","Peppermint",NA,"1","0","0",23.4
"14","209-502-0002",1,56,"OLM",1,2024-01-30,0.899305555555556,-37.5626,145.6811,"ACH T1 OLM 1","Southern greater glider",1,"left","No","106","20","400","seen","gliding","N/A",NA,"1","0","0",21.5833333333333
"15","Babbington",1,260,"OLM",1,2024-01-16,0.0243055555555556,-37.38140398,144.249151,"BABB1 OLM 2","Southern greater glider",1,"L","Y","194","25","280","seen","Idle","Eucalyptus, stringy bark",NA,"1","0","0",0.583333333333333
"16","Babbington",2,90,"OLM",1,2024-01-16,0.120138888888889,-37.38182098,144.248342,"BABB2 OLM 1","Southern greater glider",1,"L","N","126","35","340","seen","moving","Eucalyptus, smooth gum",NA,"1","0","0",2.88333333333333
"17","Backdoor",1,180,"OLM",2,2023-09-13,0.838888888888889,-37.887051,145.983563,"BAC1 OLM 2","Southern greater glider",1,"left ","no","98","30","0.38","seen","idle","Stringybark",NA,"1","0","0",20.1333333333333
"18","Backdoor",1,180,"OLM",2,2023-09-13,0.847916666666667,-37.88625204,145.983296,"BAC1 OLM 3","Southern greater glider",1,"right","yes","182","10","0.09","seen","idle","Stringybark",NA,"1","0","0",20.35
"19","Coliban",1,225,"CT",1,2023-08-15,0.838888888888889,-37.345154,144.260796,"COL1_CT_5","Common brushtail possum",2,"right","no","246","10","490","seen","idle","ribbonbark euc",NA,"1","0","0",20.1333333333333
"20","Coliban",2,60,"CT",1,2023-08-15,0.866666666666667,-37.34438,144.264086,"COL2_CT_7","Common ringtail possum",2,"left","no","351","15","350","seen","idle","stringy bark",NA,"1","0","0",20.8
"21","Davis",1,334,"CKL",1,2024-02-01,0.888888888888889,-37.8907760046422,145.91520499438,"DAV1 CKL 1","Common ringtail possum",1,"right","No","313","10",NA,"seen","moving","Peppermint Gum",NA,"1","0","0",21.3333333333333
"22","Davis",3,334,"CKL",1,2024-02-01,0.959722222222222,-37.8910350054502,145.916595971211,"DAV3 CKL 1","Common ringtail possum",1,"right","No","35","10",NA,"seen","Idle","Tea Tree",NA,"1","0","0",23.0333333333333
"23","300-910-0007",1,85,"OLM",1,2024-02-02,0.909027777777778,-37.5143,145.5711,"DLR2 T1 OLM 1","Common ringtail possum",1,"right","Yes","95","1","225","seen","moving","Gum",NA,"1","0","0",21.8166666666667
"24","300-910-0007",2,262,"OLM",1,2024-02-02,0.955555555555556,-37.5151,145.5728,"DLR2 T2 OLM 1","Southern greater glider",1,"right","Yes","140","40","115","seen","idle","Gum",NA,"1","0","1",22.9333333333333
"25","300-910-0007",3,80,"OLM",1,2024-02-03,0.0243055555555556,-37.5156,145.5737,"DLR2 T3 OLM 1","Common ringtail possum",1,"left","Yes","0","1","450","seen","idle","Wattle",NA,"1","0","0",0.583333333333333
"26","Gags",3,4,"OLM",1,2024-01-22,0.932638888888889,-37.48205537,145.4621667,"GAG3_OLM_1","Southern greater glider",1,"right","No","218","35","70","seen","idle","Eucalyptus ",NA,"1","0","0",22.3833333333333
"27","Gags",3,4,"OLM",1,2024-01-22,0.971527777777778,-37.48203331,145.46324158,"GAG3_OLM_2","Southern greater glider",1,"left","Yes","68","5","460","seen","moving","Eucalyptus ",NA,"1","0","0",23.3166666666667
"28","Ginters",1,95,"KA",1,2023-07-25,0.777777777777778,-37.2593170311301,145.58740703389,"GLI1 KA 2","Southern greater glider",1,"right","yes","15","0","124","seen","Staring at observer","Stringybark",NA,"1","0","0",18.6666666666667
"29","Ginters",3,94,"KA",1,2023-07-25,0.847916666666667,-37.2603989671915,145.590170966461,"GLI3 KA 1","Southern greater glider",2,"right","yes","189","12","342","seen","Staring at observer","Stringybark",NA,"1","0","0",20.35
"30","Merger",3,247,"NP",1,2024-02-16,0.0243055555555556,-37.9547,146.2744,"MER T3 NP 1","Southern greater glider",1,"Left","Yes","58","30",NA,"seen","staring","Gum",NA,"1","0","0",0.583333333333333
"31","Mohican_1",3,160,"OLM",1,2024-02-02,0.01875,-37.3671,145.6612,"MOH1 T3 OLM 3","Common ringtail possum",1,"left","Yes","40","8","345","seen","idle","Stringybark",NA,"1","0","0",0.45
"32","Mohican_1",3,160,"OLM",1,2024-02-02,0.0243055555555556,-37.3682,145.6619,"MOH1 T3 OLM 4","Common ringtail possum",1,"right","Yes","220","6","475","seen","moving","Blackwood",NA,"1","0","0",0.583333333333333
"33","Mohican_1",1,164,"OLM",1,2024-02-01,0.895138888888889,-37.3643,145.6617,"MOH1 T1 OLM 1","Common ringtail possum",1,"left","Yes","60","1","50","seen","moving","Peppermint Gum",NA,"1","0","0",21.4833333333333
"34","Mohican_1",1,164,"OLM",1,2024-02-01,0.920833333333333,-37.3675,145.6626,"MOH1 T1 OLM 2","Common ringtail possum",1,"left","No","244","15","405","seen","jumping","Peppermint Gum",NA,"1","0","0",22.1
"35","Mohican_1",1,164,"OLM",1,2024-02-01,0.925694444444444,-37.3679,145.6628,"MOH1 T1 OLM 3","Common ringtail possum",1,"right","No","164","15","450","seen","moving","Peppermint Gum",NA,"1","0","0",22.2166666666667
"36","Mohican_1",2,342,"OLM",1,2024-02-01,0.95,-37.3676,145.6621,"MOH1 T2 OLM 1","Common ringtail possum",1,"left","Yes","160","20","40","seen","moving","Peppermint Gum",NA,"1","0","0",22.8
"37","Mohican_1",2,342,"OLM",1,2024-02-01,0.952083333333333,-37.3677,145.6621,"MOH1 T2 OLM 2","Common ringtail possum",1,"right","Yes","0","8","40","seen","moving","Gum (seedlings)",NA,"1","0","0",22.85
"38","Mohican_1",2,342,"OLM",1,2024-02-01,0.957638888888889,-37.3672,145.6622,"MOH1 T2 OLM 3","Common ringtail possum",1,"right","Yes","70","6","90","seen","moving","Peppermint Gum",NA,"1","0","0",22.9833333333333
